Symbol,TimeFrame,Date,Volume,Open,High,Low,Close
AAPL,Daily,2025-10-20,90483029,255.88,264.38,255.63,262.24
AAPL,Daily,2025-10-21,46695948,261.88,265.29,261.83,262.77
AAPL,Daily,2025-10-22,45015254,262.65,262.85,255.43,258.45
AAPL,Daily,2025-10-23,32754941,259.94,260.62,258.01,259.58
AAPL,Daily,2025-10-24,38253717,261.19,264.13,259.18,262.82
AAPL,Daily,2025-10-27,44888152,264.88,269.12,264.65,268.81
AAPL,Daily,2025-10-28,41534759,268.99,269.89,268.15,269.0
AAPL,Daily,2025-10-29,51086742,269.27,271.41,267.11,269.7
AAPL,Daily,2025-10-30,69886534,271.99,274.14,268.48,271.4
AAPL,Daily,2025-10-31,86167123,276.99,277.32,269.16,270.37
AAPL,Daily,2025-11-03,50194583,270.42,270.85,266.25,269.05
AAPL,Daily,2025-11-04,49274846,268.32,271.49,267.62,270.04
AAPL,Daily,2025-11-05,42586288,268.61,271.7,266.93,270.14
AAPL,Daily,2025-11-06,51204045,267.89,273.4,267.89,269.77
AAPL,Daily,2025-11-07,48227365,269.8,272.29,266.77,268.47
AAPL,Daily,2025-11-10,41312412,268.96,273.73,267.45,269.43
AAPL,Daily,2025-11-11,46208318,269.81,275.91,269.8,275.25
AAPL,Daily,2025-11-12,48397982,275.0,275.73,271.7,273.47
AAPL,Daily,2025-11-13,49602794,274.11,276.7,272.09,272.95
AAPL,Daily,2025-11-14,47431331,271.05,275.96,269.6,272.41
AAPL,Daily,2025-11-17,45018260,268.81,270.49,265.73,267.46
